,Sold to Customer,Country,Customer region redefined,Pr CFN,recommend,Pr Division,confidence,Qty in Sales unit of measure (SUM),base average qty,base weightage qty,recommend average qty,final recommend qty,final recommend qty w probability
181,119893167391,Australia,New South Wales,LF1937,DS100A,MITG,0.58,377.0,125.0,2.02,42.0,127.0,0.0
182,119893167391,Australia,New South Wales,LF2019,DS100A,MITG,0.6,15.0,26.0,-0.42,42.0,24.0,24.0
183,119893167391,Australia,New South Wales,LF4418,186-0106,MITG,0.57,70.0,66.0,0.06,137.0,145.0,0.0
184,119893167391,Australia,New South Wales,LF4418,DS100A,MITG,0.61,70.0,66.0,0.06,42.0,45.0,45.0
185,119893167391,Australia,New South Wales,OMS-PDBS2,DS100A,MITG,0.58,10.0,19.0,-0.47,42.0,22.0,22.0
186,119893167391,Australia,New South Wales,OMS-T10SB,186-0106,MITG,0.52,17.0,25.0,-0.32,137.0,93.0,0.0
187,119893167391,Australia,New South Wales,OMS-T10SB,DS100A,MITG,0.58,17.0,25.0,-0.32,42.0,29.0,29.0
188,119893167391,Australia,New South Wales,TECR1410DP2,DS100A,MITG,0.54,91.0,61.0,0.49,42.0,63.0,0.0
189,119893515818,Australia,Northern Territory,173049,DS100A,MITG,0.63,3.0,46.0,-0.93,42.0,3.0,3.0
190,119893515818,Australia,Northern Territory,350-005-000,300-000-000,MITG,0.5,1.0,14.0,-0.93,4.0,0.0,0.0
191,119893515818,Australia,Northern Territory,350-013-000,300-000-000,MITG,0.51,2.0,13.0,-0.85,4.0,1.0,1.0
192,119893515818,Australia,Northern Territory,8888247031,150462,MITG,0.5,16.0,36.0,-0.56,75.0,33.0,0.0
193,119893515818,Australia,Northern Territory,ABSTACK30X,DS100A,MITG,0.54,2.0,62.0,-0.97,42.0,1.0,0.0
194,119893515818,Australia,Northern Territory,D-YS,DS100A,MITG,0.8,9.0,9.0,0.0,42.0,42.0,42.0
195,119893515818,Australia,Northern Territory,EASYCAPII6,DS100A,MITG,0.5,11.0,18.0,-0.39,42.0,26.0,0.0
196,119893515818,Australia,Northern Territory,EGIAUSTND,DS100A,MITG,0.61,5.0,68.0,-0.93,42.0,3.0,3.0
197,119893515818,Australia,Northern Territory,LF1837,DS100A,MITG,0.58,32.0,108.0,-0.7,42.0,13.0,13.0
198,119893515818,Australia,Northern Territory,LF1937,DS100A,MITG,0.58,19.0,125.0,-0.85,42.0,6.0,6.0
199,119893515818,Australia,Northern Territory,LF2019,DS100A,MITG,0.6,1.0,26.0,-0.96,42.0,2.0,2.0
200,119893515818,Australia,Northern Territory,LF4418,DS100A,MITG,0.61,9.0,66.0,-0.86,42.0,6.0,6.0
201,119893515818,Australia,Northern Territory,OMS-PDBS2,DS100A,MITG,0.58,12.0,19.0,-0.37,42.0,26.0,26.0
202,119893515818,Australia,Northern Territory,OMS-T10SB,DS100A,MITG,0.58,22.0,25.0,-0.12,42.0,37.0,37.0
203,119893515818,Australia,Northern Territory,TECR1410DP2,DS100A,MITG,0.54,21.0,61.0,-0.66,42.0,14.0,0.0
204,119895062427,Australia,South Australia,MMT-7020C5,MMT-7810W1,Diabetes,0.51,2.0,26.0,-0.92,2.0,0.0,0.0
205,119895676195,Australia,New South Wales,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,0.0
206,119896034894,Australia,Queensland,186-0106,LF1837,MITG,0.51,1.0,137.0,-0.99,108.0,1.0,1.0
207,119896034894,Australia,Queensland,8888247031,150462,MITG,0.5,9.0,36.0,-0.75,75.0,19.0,0.0
208,119896034894,Australia,Queensland,8888247031,LF1837,MITG,0.53,9.0,36.0,-0.75,108.0,27.0,0.0
209,119896034894,Australia,Queensland,8888247056,LF1837,MITG,0.54,7.0,21.0,-0.67,108.0,36.0,0.0
210,119896034894,Australia,Queensland,8888247056,LF1937,MITG,0.62,7.0,21.0,-0.67,125.0,41.0,0.0
211,119897344449,Australia,New South Wales,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,3.0
212,119897344449,Australia,New South Wales,MMT-7020C5,MMT-7810W1,Diabetes,0.51,2.0,26.0,-0.92,2.0,0.0,0.0
213,119897694588,Australia,New South Wales,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,3.0
214,119897977897,Australia,New South Wales,ACC-822BK,ACC-1601,Diabetes,0.68,1.0,1.0,0.0,2.0,2.0,0.0
215,119897977897,Australia,New South Wales,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,0.0
216,119898865195,Australia,Western Australia,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,3.0
217,119899739538,Australia,Victoria,MMT-1891,MMT-7910W5,Diabetes,0.52,1.0,1.0,0.0,3.0,3.0,3.0
