,Product,date,predict,Unnamed: 0,actual,material_x,y,material_y,lower,upper,base,cmb_pred
176,LF1937,2023-06-01,-412.1721555016015,38,,,-748.5309871083655,LF1937,-14289.271244154068,12792.20926993734,LF1937,-580.3515713049835
177,LF1937,2023-07-01,-493.7522239691712,39,,,-824.6160419477192,LF1937,-15199.139080242534,13549.906996347094,LF1937,-659.1841329584452
178,LF1937,2023-08-01,-578.0516280523275,40,,,-900.7010967870729,LF1937,-16124.04749453289,14322.645300958742,LF1937,-739.3763624197002
179,LF1937,2023-09-01,-662.3510321354831,41,,,-976.7861516264264,LF1937,-17063.80827367149,15110.235970418636,LF1937,-819.5685918809547
180,LF1937,2023-10-01,-743.9311006030529,42,,,-1052.8712064657802,LF1937,-18018.23219146109,15912.489778529532,LF1937,-898.4011535344166
181,LF1937,2023-11-01,-828.2305046862091,43,,,-1128.956261305134,LF1937,-18987.13081746777,16729.218294857503,LF1937,-978.5933829956715
182,LF1937,2023-12-01,-909.8105731537795,44,,,-1205.0413161444876,LF1937,-19970.31779375601,17560.235161467033,LF1937,-1057.4259446491335
183,LF1937,2024-01-01,-994.1099772369352,45,,,-1281.1263709838413,LF1937,-20967.60972642828,18405.356984460595,LF1937,-1137.6181741103883
184,MMT-7910W5,2020-11-01,186.33551361729545,0,55.0,MMT-7910W5,,,,,MMT-7910W5,
185,MMT-7910W5,2020-12-01,189.34370794290965,1,104.0,MMT-7910W5,,,,,MMT-7910W5,
186,MMT-7910W5,2021-01-01,192.51271473409267,2,218.0,MMT-7910W5,,,,,MMT-7910W5,
187,MMT-7910W5,2021-02-01,195.67825734135502,3,296.0,MMT-7910W5,,,,,MMT-7910W5,
188,MMT-7910W5,2021-03-01,198.29306907628245,4,349.0,MMT-7910W5,,,,,MMT-7910W5,
189,MMT-7910W5,2021-04-01,200.82508881811407,5,237.0,MMT-7910W5,,,,,MMT-7910W5,
190,MMT-7910W5,2021-05-01,202.97273147086202,6,158.0,MMT-7910W5,,,,,MMT-7910W5,
191,MMT-7910W5,2021-06-01,205.101552097688,7,177.0,MMT-7910W5,,,,,MMT-7910W5,
192,MMT-7910W5,2021-07-01,207.0549202359123,8,243.0,MMT-7910W5,,,,,MMT-7910W5,
193,MMT-7910W5,2021-08-01,208.8084364522844,9,172.0,MMT-7910W5,,,,,MMT-7910W5,
194,MMT-7910W5,2021-09-01,210.4881547107061,10,278.0,MMT-7910W5,,,,,MMT-7910W5,
195,MMT-7910W5,2021-10-01,211.97228561116546,11,192.0,MMT-7910W5,,,,,MMT-7910W5,
196,MMT-7910W5,2021-11-01,213.2910896230955,12,249.0,MMT-7910W5,,,,,MMT-7910W5,
197,MMT-7910W5,2021-12-01,214.5673515701245,13,221.0,MMT-7910W5,,,,,MMT-7910W5,
198,MMT-7910W5,2022-01-01,215.8861555820545,14,111.0,MMT-7910W5,162.45298533644433,MMT-7910W5,27.68154164436893,297.2244290285197,MMT-7910W5,189.16957045924943
199,MMT-7910W5,2022-02-01,217.20495959398448,15,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,207.92325873720972
200,MMT-7910W5,2022-03-01,218.39613741121155,16,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,208.51884764582326
201,MMT-7910W5,2022-04-01,219.71494142314154,17,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,209.17824965178824
202,MMT-7910W5,2022-05-01,220.99120337017055,18,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,209.81638062530274
203,MMT-7910W5,2022-06-01,222.31000738210054,19,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,210.47578263126775
204,MMT-7910W5,2022-07-01,223.58626932912955,20,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,211.11391360478223
205,MMT-7910W5,2022-08-01,224.90507334105953,21,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,211.77331561074723
206,MMT-7910W5,2022-09-01,226.22387735298952,22,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,212.43271761671224
207,MMT-7910W5,2022-10-01,227.50013930001853,23,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,213.07084859022672
208,MMT-7910W5,2022-11-01,228.81894331194852,24,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,213.73025059619172
209,MMT-7910W5,2022-12-01,230.09520525897756,25,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,214.36838156970623
210,MMT-7910W5,2023-01-01,231.4140092709075,26,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,215.0277835756712
211,MMT-7910W5,2023-02-01,232.7328132828375,27,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,215.68718558163621
212,MMT-7910W5,2023-03-01,233.9239911000646,28,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,216.28277449024978
213,MMT-7910W5,2023-04-01,235.24279511199455,29,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,216.94217649621476
214,MMT-7910W5,2023-05-01,236.5190570590236,30,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,217.58030746972926
215,MMT-7910W5,2023-06-01,237.83786107095355,31,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,218.23970947569424
216,MMT-7910W5,2023-07-01,239.1141230179826,32,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,218.87784044920875
217,MMT-7910W5,2023-08-01,240.43292702991258,33,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,219.53724245517375
218,MMT-7910W5,2023-09-01,241.7517310418426,34,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,220.19664446113876
219,MMT-7910W5,2023-10-01,243.02799298887157,35,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,220.83477543465324
220,MMT-7910W5,2023-11-01,244.34679700080156,36,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,221.49417744061824
221,MMT-7910W5,2023-12-01,245.62305894783057,37,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,222.13230841413275
222,MMT-7910W5,2024-01-01,246.94186295976056,38,,,198.64155788043493,MMT-7910W5,51.88192044606117,345.40119531480866,MMT-7910W5,222.79171042009773
223,150462,2020-04-01,600.8890813274755,0,112.98,150462,,,,,150462,
224,150462,2020-05-01,613.8167490225832,1,503.08,150462,,,,,150462,
225,150462,2020-06-01,627.0048616053062,2,674.8,150462,,,,,150462,
226,150462,2020-07-01,639.631206575844,3,916.9,150462,,,,,150462,
227,150462,2020-08-01,652.2204696453157,4,607.66,150462,,,,,150462,
228,150462,2020-09-01,664.2439125448711,5,708.56,150462,,,,,150462,
229,150462,2020-10-01,675.2295891897262,6,791.55,150462,,,,,150462,
